"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 11:32:58 GMT 2023","Sun Apr 23 11:33:03 GMT 2023","5397","vizsgaremek_teszt","conduit_test","TestConduit","","","TÖBB OLDALAS LISTA BEJÁRÁSA",""
"passed","Sun Apr 23 11:32:45 GMT 2023","Sun Apr 23 11:32:50 GMT 2023","5257","vizsgaremek_teszt","conduit_test","TestConduit","","","BEJELENTKEZÉS",""
"passed","Sun Apr 23 11:33:04 GMT 2023","Sun Apr 23 11:33:11 GMT 2023","7017","vizsgaremek_teszt","conduit_test","TestConduit","","","ÚJ ADAT BEVITEL",""
"passed","Sun Apr 23 11:33:45 GMT 2023","Sun Apr 23 11:33:51 GMT 2023","5300","vizsgaremek_teszt","conduit_test","TestConduit","","","KIJELENTKEZÉS",""
"passed","Sun Apr 23 11:33:52 GMT 2023","Sun Apr 23 11:33:58 GMT 2023","6291","vizsgaremek_teszt","conduit_test","TestConduit","","","MEGLÉVŐ ADAT MÓDOSÍTÁS",""
"passed","Sun Apr 23 11:33:13 GMT 2023","Sun Apr 23 11:33:28 GMT 2023","15933","vizsgaremek_teszt","conduit_test","TestConduit","","","ISMÉTELT ÉS SOROZATOS ADATBEVITEL ADATFORRÁSBÓL",""
"passed","Sun Apr 23 11:32:40 GMT 2023","Sun Apr 23 11:32:40 GMT 2023","52","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATKEZELÉSI NYILATKOZAT HASZNÁLATA",""
"passed","Sun Apr 23 11:32:41 GMT 2023","Sun Apr 23 11:32:44 GMT 2023","2361","vizsgaremek_teszt","conduit_test","TestConduit","","","REGISZTRÁCIÓ",""
"passed","Sun Apr 23 11:32:51 GMT 2023","Sun Apr 23 11:32:57 GMT 2023","5385","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LISTÁZÁSA",""
"passed","Sun Apr 23 11:33:39 GMT 2023","Sun Apr 23 11:33:44 GMT 2023","5408","vizsgaremek_teszt","conduit_test","TestConduit","","","test_save_data",""
"passed","Sun Apr 23 11:33:30 GMT 2023","Sun Apr 23 11:33:38 GMT 2023","8281","vizsgaremek_teszt","conduit_test","TestConduit","","","ADAT VAGY ADATOK TÖRLÉSE",""
